iter	Passed	Remaining
426	471	632
427	472	631
428	473	630
429	474	628
430	475	627
431	476	626
432	477	625
433	478	624
434	479	622
435	480	621
436	481	620
437	482	618
438	483	617
439	484	617
440	486	616
441	487	615
442	488	614
443	489	613
444	490	612
445	491	611
446	493	610
447	494	609
448	495	608
449	496	606
450	497	605
451	498	604
452	499	603
453	500	602
454	501	601
455	502	600
456	504	599
457	505	598
458	506	597
459	507	596
460	509	595
461	510	594
462	512	593
463	513	592
464	514	591
465	515	590
466	516	589
467	517	588
468	519	587
469	520	586
470	521	585
471	522	585
472	524	584
473	525	583
474	526	582
475	527	581
476	529	580
477	530	579
478	531	577
479	532	577
480	534	576
481	535	575
482	536	574
483	537	573
484	538	572
485	540	571
486	541	570
487	542	569
488	543	568
489	545	567
490	546	566
491	547	565
492	548	564
493	550	563
494	551	562
495	552	561
496	553	560
497	554	558
498	555	557
499	556	556
500	558	556
501	559	554
502	560	553
503	562	553
504	563	552
505	564	551
506	565	550
507	566	549
508	568	547
509	569	546
510	570	546
511	571	545
512	573	544
513	574	543
514	575	542
515	577	541
516	578	540
517	579	539
518	581	538
519	582	537
520	583	536
521	585	535
522	586	534
523	587	533
524	588	532
525	589	531
526	591	530
527	592	529
528	594	529
529	595	528
530	596	527
531	598	526
532	599	525
533	600	524
534	602	523
535	603	522
536	604	521
537	606	520
538	607	519
539	608	518
540	610	517
541	611	516
542	612	515
543	614	515
544	615	514
545	617	513
546	618	512
547	619	510
548	620	509
549	621	508
550	622	507
551	623	506
552	625	505
553	626	504
554	627	503
555	628	501
556	629	500
557	630	499
558	632	498
559	633	497
560	634	496
561	635	495
562	636	493
563	637	492
564	638	491
565	640	490
566	641	489
567	642	488
568	643	487
569	644	486
570	645	484
571	646	483
572	647	482
573	649	481
574	650	480
575	651	479
576	653	478
577	654	477
578	655	476
579	656	475
580	657	474
581	658	473
582	659	471
583	660	470
584	662	469
585	663	468
586	664	467
587	665	466
588	667	465
589	668	464
590	669	463
591	670	462
592	671	460
593	672	459
594	674	458
595	675	457
596	676	456
597	677	455
598	678	454
599	679	453
600	681	452
601	682	450
602	683	449
603	684	448
604	685	447
605	686	446
606	687	445
607	688	443
608	689	442
609	690	441
610	691	440
611	692	438
612	693	437
613	694	436
614	695	435
615	696	434
616	697	433
617	698	432
618	700	431
619	701	430
620	702	428
621	704	427
622	705	426
623	706	425
624	707	424
625	708	423
626	709	422
627	710	421
628	712	420
629	713	418
630	714	417
631	715	416
632	717	415
633	718	414
634	719	413
635	720	412
636	722	411
637	723	410
638	724	409
639	725	408
640	727	407
641	728	406
642	729	405
643	730	403
644	731	402
645	732	401
646	734	400
647	735	399
648	736	398
649	737	397
650	738	396
651	739	394
652	741	393
653	742	392
654	743	391
655	744	390
656	745	389
657	747	388
658	748	387
659	749	386
660	750	384
661	751	383
662	752	382
663	753	381
664	754	380
665	756	379
666	757	377
667	758	376
668	759	375
669	760	374
670	761	373
671	762	372
672	764	371
673	765	370
674	766	369
675	767	368
676	769	366
677	770	365
678	771	364
679	772	363
680	773	362
681	774	361
682	776	360
683	777	359
684	778	357
685	779	356
686	780	355
687	781	354
688	782	353
689	784	352
690	785	351
691	786	350
692	787	348
693	788	347
694	789	346
695	790	345
696	792	344
697	793	343
698	794	342
699	795	340
700	796	339
701	797	338
702	798	337
703	799	336
704	800	335
705	801	333
706	802	332
707	803	331
708	805	330
709	806	329
710	807	328
711	808	327
712	809	325
713	810	324
714	811	323
715	812	322
716	814	321
717	815	320
718	816	319
719	817	317
720	818	316
721	819	315
722	821	314
723	822	313
724	823	312
725	824	311
726	826	310
727	827	309
728	828	307
729	829	306
730	831	305
731	832	304
732	833	303
733	834	302
734	835	301
735	836	300
736	837	299
737	839	297
738	840	296
739	841	295
740	842	294
741	843	293
742	845	292
743	846	291
744	847	290
745	848	288
746	849	287
747	850	286
748	851	285
749	852	284
750	853	283
751	855	281
752	856	280
753	857	279
754	858	278
755	859	277
756	861	276
757	862	275
758	863	274
759	864	273
760	865	271
761	866	270
762	867	269
763	869	268
764	870	267
765	871	266
766	872	265
767	873	263
768	874	262
769	875	261
770	877	260
771	878	259
772	879	258
773	880	257
774	881	256
775	882	254
776	884	253
777	885	252
778	886	251
779	887	250
780	888	249
781	890	248
782	891	246
783	892	245
784	893	244
785	894	243
786	895	242
787	896	241
788	897	239
789	898	238
790	899	237
791	901	236
792	902	235
793	903	234
794	904	233
795	906	232
796	907	231
797	908	229
798	909	228
799	910	227
800	911	226
801	912	225
802	913	224
803	915	223
804	916	222
805	917	220
806	918	219
807	919	218
808	921	217
809	922	216
810	923	215
811	924	214
812	925	212
813	926	211
814	927	210
815	928	209
816	929	208
817	930	207
818	932	206
819	933	204
820	934	203
821	935	202
822	936	201
823	937	200
824	938	199
825	939	198
826	941	196
827	942	195
828	943	194
829	944	193
830	946	192
831	947	191
832	948	190
833	949	189
834	950	187
835	951	186
836	952	185
837	953	184
838	954	183
839	956	182
840	957	181
841	958	179
842	959	178
843	960	177
844	962	176
845	963	175
846	964	174
847	965	173
848	966	171
849	967	170
850	968	169
851	970	168
852	972	167
853	973	166
854	974	165
855	976	164
856	977	163
857	978	161
858	979	160
859	980	159
860	981	158
861	983	157
862	984	156
863	985	155
864	986	154
865	988	152
866	989	151
867	990	150
868	991	149
869	992	148
870	993	147
871	995	146
872	996	144
873	997	143
874	998	142
875	999	141
876	1001	140
877	1002	139
878	1003	138
879	1004	136
880	1005	135
881	1006	134
882	1007	133
883	1009	132
884	1010	131
885	1011	130
886	1012	129
887	1014	127
888	1015	126
889	1016	125
890	1017	124
891	1018	123
892	1019	122
893	1020	121
894	1021	119
895	1023	118
896	1024	117
897	1025	116
898	1026	115
899	1027	114
900	1028	113
901	1030	111
902	1031	110
903	1032	109
904	1033	108
905	1034	107
906	1035	106
907	1036	105
908	1037	103
909	1038	102
910	1040	101
911	1041	100
912	1042	99
913	1043	98
914	1044	97
915	1045	95
916	1046	94
917	1047	93
918	1049	92
919	1050	91
920	1051	90
921	1052	89
922	1053	87
923	1055	86
924	1056	85
925	1057	84
926	1058	83
927	1060	82
928	1061	81
929	1062	80
930	1063	78
931	1065	77
932	1066	76
933	1067	75
934	1068	74
935	1069	73
936	1070	71
937	1071	70
938	1073	69
939	1073	68
940	1075	67
941	1076	66
942	1077	65
943	1078	63
944	1079	62
945	1081	61
946	1082	60
947	1083	59
948	1084	58
949	1085	57
950	1086	56
951	1088	54
952	1089	53
953	1090	52
954	1092	51
955	1093	50
956	1094	49
957	1095	48
958	1096	46
959	1098	45
960	1099	44
961	1100	43
962	1101	42
963	1102	41
964	1103	40
965	1104	38
966	1105	37
967	1106	36
968	1107	35
969	1108	34
970	1109	33
971	1110	31
972	1111	30
973	1112	29
974	1113	28
975	1114	27
976	1115	26
977	1116	25
978	1118	23
979	1119	22
980	1120	21
981	1121	20
982	1122	19
983	1123	18
984	1124	17
985	1125	15
986	1126	14
987	1127	13
988	1128	12
989	1129	11
990	1130	10
991	1132	9
992	1133	7
993	1134	6
994	1135	5
995	1136	4
996	1138	3
997	1139	2
998	1140	1
999	1141	0
